date,total_revenue
2024-12-31,990.7700000000001
2025-01-01,3884744.509999893
2025-01-02,3982630.5599998613
2025-01-03,4096413.9699998125
2025-01-04,4211926.899999887
2025-01-05,3743197.2600000263
2025-01-06,3681890.1100000273
2025-01-07,4275145.250000062
2025-01-08,4696007.729999897
2025-01-09,5019250.650000143
2025-01-10,4775186.750000025
2025-01-11,4838961.670000012
2025-01-12,4411007.14999993
2025-01-13,4345030.570000017
2025-01-14,5078951.680000096
2025-01-15,5268715.150000166
2025-01-16,5972869.44000037
2025-01-17,5172290.240000102
2025-01-18,4666351.670000009
